date,max_temp,min_temp,mean_temp,mean_rh,events,cloud_cover
2007-09-01,60,51,56,75,NA,4
2007-09-02,60,53,56,82,Rain,4
2007-09-03,57,51,54,78,NA,6
2007-09-04,64,50,57,80,Rain,6
2007-09-05,53,48,50,90,Rain,7
2007-09-06,57,42,50,69,NA,1
2007-09-07,59,41,50,77,NA,4
2007-09-08,59,46,52,80,NA,5
2007-09-09,55,50,52,88,Rain,7
2007-09-10,59,50,54,82,Rain,4
2007-09-11,57,50,54,78,NA,3
2007-09-12,59,42,50,78,NA,2
2007-09-13,62,44,53,77,NA,4
2007-09-14,62,51,56,78,NA,5
2007-09-15,66,50,58,83,Fog,4
2007-09-16,60,55,58,92,Rain,6
2007-09-17,64,51,58,87,Fog,4
2007-09-18,66,53,60,86,Rain,4
2007-09-19,66,51,58,82,Rain,4
2007-09-20,62,57,60,79,Rain,5
2007-09-21,64,53,58,74,NA,3
2007-09-22,68,50,59,83,NA,4
2007-09-23,66,55,62,89,Rain,6
2007-09-24,66,51,58,86,Rain-Thunderstorm,4
2007-09-25,59,50,54,86,Rain,3
2007-09-26,60,48,54,76,NA,3
2007-09-27,59,46,52,70,Rain,2
2007-09-28,59,44,52,71,NA,2
2007-09-29,60,46,53,75,NA,3
2007-09-30,62,53,58,84,Rain,6
2007-10-01,NA,NA,NA,NA,NA,NA
2007-10-01,64,53,58,87,Rain-Thunderstorm,5
2007-10-02,62,53,58,75,Rain,5
2007-10-03,57,48,52,73,Rain-Thunderstorm,3
2007-10-04,60,42,51,70,NA,3
2007-10-05,62,51,56,75,Rain,3
2007-10-06,64,48,56,76,NA,2
2007-10-07,69,48,58,82,NA,3
2007-10-08,69,57,63,84,Rain,5
2007-10-09,64,57,60,86,Rain,5
2007-10-10,64,59,62,91,Rain,5
2007-10-11,62,53,58,80,Rain,4
2007-10-12,62,51,56,73,Rain,4
2007-10-13,64,51,58,82,Rain,6
2007-10-14,60,51,56,71,Rain,4
2007-10-15,62,51,56,77,Rain,5
2007-10-16,62,55,58,75,Rain,3
2007-10-17,66,55,62,84,Rain,5
2007-10-18,59,48,54,84,Rain,5
2007-10-19,57,44,50,71,Rain,2
2007-10-20,59,44,52,78,Rain,4
2007-10-21,60,55,58,73,NA,4
2007-10-22,60,53,58,80,Rain,5
2007-10-23,66,53,60,80,NA,4
2007-10-24,62,57,60,90,Rain,6
2007-10-25,60,55,58,75,NA,3
2007-10-26,60,55,58,72,NA,6
2007-10-27,62,53,58,73,Rain,5
2007-10-28,60,50,55,78,Rain,6
2007-10-29,64,50,57,71,NA,4
2007-10-30,64,48,56,68,NA,1
2007-10-31,66,50,58,72,NA,1
2007-11-01,68,50,59,82,Rain,5
2007-11-02,66,57,62,81,NA,6
2007-11-03,69,53,61,79,NA,4
2007-11-04,64,60,62,86,Rain,6
2007-11-05,64,57,60,83,Rain,7
2007-11-06,57,51,54,86,Rain,6
2007-11-07,62,51,56,84,Rain,5
2007-11-08,62,53,58,67,NA,5
2007-11-09,64,55,60,68,NA,3
2007-11-10,64,48,56,76,NA,2
2007-11-11,69,48,58,72,NA,1
2007-11-12,66,51,58,77,Rain,3
2007-11-13,64,51,58,76,Rain,4
2007-11-14,60,51,56,76,Rain,4
2007-11-15,62,53,58,67,NA,3
2007-11-16,64,55,60,81,Rain,6
2007-11-17,66,51,58,75,NA,3
2007-11-18,66,57,62,75,NA,5
2007-11-19,66,51,58,83,NA,3
2007-11-20,68,55,62,81,NA,3
2007-11-21,69,53,61,81,NA,2
2007-11-22,66,53,60,80,NA,3
2007-11-23,69,53,61,77,Rain,5
2007-11-24,69,57,63,82,Rain,6
2007-11-25,68,59,64,81,NA,2
2007-11-26,66,59,62,75,NA,4
2007-11-27,66,57,62,71,NA,5
2007-11-28,68,55,62,75,Rain,4
2007-11-29,64,53,58,77,Rain,6
2007-11-30,66,57,62,77,Rain,5
2007-12-01,69,53,61,78,NA,3
2007-12-02,71,59,65,84,Rain,6
2007-12-03,68,59,64,79,NA,4
2007-12-04,71,57,64,69,NA,6
2007-12-05,69,59,64,86,Rain,6
2007-12-06,71,62,66,93,Rain,7
2007-12-07,69,57,63,72,Rain,6
2007-12-08,75,55,65,70,Rain,3
2007-12-09,68,64,66,88,Rain,6
2007-12-10,69,66,68,82,Rain,6
2007-12-11,68,64,66,81,Rain,7
2007-12-12,71,62,66,80,Rain,5
2007-12-13,73,60,66,79,NA,4
2007-12-14,75,59,67,74,NA,5
2007-12-15,71,60,66,74,NA,6
2007-12-16,73,60,66,72,Rain,5
2007-12-17,75,62,68,81,Rain,5
2007-12-18,77,66,72,87,Rain,6
2007-12-19,71,62,66,84,Rain,7
2007-12-20,68,60,64,75,Rain,5
2007-12-21,68,57,62,82,Rain,5
2007-12-22,69,59,64,73,Rain,6
2007-12-23,71,55,63,67,NA,3
2007-12-24,75,59,67,71,Rain,3
2007-12-25,73,59,66,84,Rain,7
